Chapter,หัวข้อ,คำถาม,ตัวเลือก A,ตัวเลือก B,ตัวเลือก C,ตัวเลือก D,คำตอบที่ถูก,คำอธิบาย,หมายเหตุการรวม,status
2,ตัวอย่างนาฬิกา 10:10 แสดงอคติของข้อมูล (Bias),ข้อใดเป็นตัวอย่างของ “Bias” ในข้อมูลที่ใช้ฝึก AI,AI ทำนายเวลาผิดเพราะเห็นแต่นาฬิกาตั้งไว้ที่ 10:10,AI ไม่สามารถสร้างภาพใหม่ได้,AI แปลภาษาผิด,AI ตอบช้าเกินไป,A,ตัวอย่าง Bias จากข้อมูลที่ไม่หลากหลาย ทำให้ AI เรียนรู้ผิดพลาดจากรูปแบบที่ซ้ำเดิม,,
2,การที่ AI เดาผลลัพธ์โดยขาดบริบทเพียงพอ,เหตุผลสำคัญที่ AI ตอบผิดหรือหลอนได้คืออะไร,เพราะโมเดลไม่มีข้อมูลตัวอย่างเพียงพอหรือบริบทไม่ครบ,เพราะโมเดลจงใจตอบผิด,เพราะโมเดลไม่สามารถคำนวณได้,เพราะผู้ใช้ถามเร็วเกินไป,A,การขาดข้อมูลอ้างอิงหรือบริบททำให้ AI ต้องเดานอกช่วง → เกิด Extrapolation ผิดพลาด,,
2,การที่ AI สร้างภาพผิดจากของจริงแต่ยังดูสมจริง,ปรากฏการณ์นี้เรียกว่าอะไร,Overfitting,Hallucination,Reinforcement,Translation Error,B,AI สร้างสิ่งที่ดูสมจริงแต่ไม่ถูกต้อง เรียกว่า “การหลอน” หรือ Hallucination,,
2,การเปรียบเทียบ Rule-based กับ Learned Model,ความแตกต่างหลักระหว่าง Rule-based Model และ Learned Model คืออะไร,Rule-based ใช้การเรียนรู้จากข้อมูล ส่วน Learned ใช้สูตรคงที่,Rule-based ใช้กฎคณิตศาสตร์แน่นอน ส่วน Learned Model เรียนรู้จากตัวอย่างข้อมูล,ทั้งคู่ทำงานเหมือนกัน,Learned Model ไม่สามารถคาดการณ์ได้,B,วัดความเข้าใจแนวคิดพื้นฐานของ “สมการ vs การเรียนรู้จากข้อมูล”,,
2,ตัวอย่างจากซีรีส์ 3-body problem และพยากรณ์อากาศ,ปัญหาที่เหมาะกับการใช้ AI คือแบบใด,ปัญหาที่มีกฎแน่นอนและคำนวณได้ชัดเจน,ปัญหาที่ซับซ้อนและไม่สามารถอธิบายด้วยสมการตายตัว,ปัญหาที่เกี่ยวข้องกับคณิตศาสตร์พื้นฐานเท่านั้น,ปัญหาที่ไม่ต้องใช้ข้อมูลจำนวนมาก,B,AI เหมาะกับปัญหาที่ซับซ้อน เช่น พยากรณ์อากาศ หรือระบบหลายปัจจัยที่ไม่สามารถใช้สมการแน่นอนได้,,
2,การคาดเดาข้อมูลนอกช่วงข้อมูลเดิม (Extrapolation),เหตุใด Extrapolation จึงมักให้ผลผิดพลาดมากกว่า Interpolation,เพราะต้องใช้สมการคณิตศาสตร์ซับซ้อนกว่า,เพราะคาดเดาค่านอกช่วงข้อมูลที่มี ทำให้ความไม่แน่นอนสูง,เพราะใช้ข้อมูลมากเกินไป,เพราะเป็นเทคนิคใหม่กว่า,B,Extrapolation คือการทำนายนอกช่วงข้อมูลที่รู้ ทำให้โอกาสผิดสูงกว่าการคาดค่าในช่วง,,
2,ตัวอย่างกราฟ PM2.5 อธิบายแนวคิดการคาดเดาข้อมูลที่หายไปในช่วง (Interpolation),หลักการของ Interpolation คืออะไร,การคาดเดาข้อมูลที่อยู่นอกช่วงข้อมูลอ้างอิง,การคาดเดาข้อมูลภายในช่วงของข้อมูลอ้างอิง,การคำนวณค่าคงที่จากสูตร,การเดาคำตอบแบบสุ่ม,B,Interpolation คือการประมาณค่าภายในช่วงของข้อมูลที่มีอยู่ เช่น การเดาค่าฝุ่นปี 2011 จากค่าปี 2010 และ 2012,,
2,ตัวอย่างการใช้ AI เติมคำในศิลาจารึกหรือภาพที่หายไป,การที่ AI เติมคำในศิลาจารึกหรือสร้างภาพส่วนที่ขาดหายไป เทียบได้กับหลักการใด,Extrapolation,Interpolation,Reinforcement,Bias Correction,B,การเติมข้อมูลที่หายไปโดยอิงจากข้อมูลบริบทรอบ ๆ คือการทำ Interpolation,,
3,ทุกอัลกอริทึมมีอคติในระดับใดระดับหนึ่ง,วิธีที่ถูกต้องในการรับมือกับอคติใน AI คืออะไร,ปฏิเสธการใช้ AI ทันที,ตรวจสอบและตั้งคำถามกับข้อมูลและวิธีตัดสินของ AI,ใช้ AI โดยไม่ต้องตรวจสอบ,ให้ AI ตัดสินแทนมนุษย์ทั้งหมด,B,แนวทางที่ถูกต้องคือใช้ AI อย่างมีวิจารณญาณ ตรวจสอบแหล่งข้อมูลและผลลัพธ์เสมอ,,
3,การเข้าใจอคติและขอบเขตของ AI,เพราะเหตุใดผู้ใช้ทั่วไปจึงควรรู้จักอคติใน AI,เพื่อจะได้หลีกเลี่ยงการใช้งาน AI,เพื่อใช้ AI อย่างชาญฉลาดและเป็นธรรมต่อทุกคน,เพื่อสร้าง AI ของตนเอง,เพื่อแข่งขันกับเทคโนโลยี,B,การรู้เท่าทันอคติช่วยให้เราใช้ AI อย่างมีจริยธรรมและไม่ตัดสินผู้อื่นอย่างไม่ยุติธรรม,,
3,ความโปร่งใสในระบบ AI,เหตุใดความโปร่งใส (Transparency) จึงสำคัญต่อการใช้ AI อย่างเป็นธรรม,ทำให้ผู้ใช้เชื่อถือได้และเข้าใจขอบเขตของระบบ,ทำให้ระบบทำงานเร็วขึ้น,ลดต้นทุนในการฝึกโมเดล,ทำให้ AI สร้างข้อมูลได้มากขึ้น,A,ความโปร่งใสช่วยให้ผู้ใช้รู้ว่า AI ถูกฝึกจากข้อมูลแบบใด และตัดสินใจอย่างไร,,
3,การใช้ AI ในการคัดเลือกพนักงานอาจสานต่ออคติจากการตัดสินใจในอดีต,ผลกระทบของอคติในระบบคัดเลือกผู้สมัครงานคืออะไร,ช่วยให้เลือกคนได้เร็วขึ้น,ทำให้บริษัทพลาดคนเก่งและไม่เป็นธรรม,เพิ่มโอกาสของผู้สมัครทุกคน,ลดความลำเอียงของมนุษย์ได้ทั้งหมด,B,ระบบเรียนรู้อคติจากข้อมูลเดิม เช่น อายุ เพศ หรือพื้นเพ ทำให้ตัดสินใจไม่ยุติธรรม,,
3,System Card หรือใบแจ้งส่วนผสมของ AI,จุดประสงค์ของ “System Card” คืออะไร,ช่วยให้ AI ตัดสินใจแทนมนุษย์ได้,เปิดเผยข้อมูลฝึก จุดแข็ง จุดอ่อนของโมเดล,แสดงราคาซื้อขายของโมเดล,ใช้เป็นใบอนุญาตให้ AI ทำงานได้,B,System Card คือเอกสารแสดงความโปร่งใสของ AI เพื่อให้ผู้ใช้เข้าใจข้อจำกัดของระบบ,,
3,งานวิจัยของ MIT พบว่า AI จำแนกเพศคนผิวสีผิดพลาดสูง,งานวิจัยของ MIT ปี 2018 สะท้อนปัญหาอะไรในระบบ AI,การฝึกข้อมูลมากเกินไป,ความไม่หลากหลายของข้อมูลฝึก,การใช้โมเดลที่ซับซ้อนเกินไป,การเขียนโปรแกรมผิดพลาด,B,งานวิจัยพบว่า AI ล้มเหลวกับกลุ่มที่ไม่ถูกแทนในข้อมูลฝึก แสดงถึงปัญหา Representation Bias,,
3,ตัวอย่าง AI แสดงภาพ “nurse” เป็นผู้หญิงเกือบทั้งหมด,เหตุการณ์นี้เป็นตัวอย่างของอคติประเภทใด,Automation Bias,Representation Bias,Confirmation Bias,Gender Bias,B,เป็นตัวอย่างของ Representation Bias — ข้อมูลที่ใช้ฝึกไม่สะท้อนความหลากหลายของความเป็นจริง,,
3,ระบบ PredPol ใช้ข้อมูลการจับกุมในอดีตและตอกย้ำอคติเดิม,ปรากฏการณ์ที่ระบบ PredPol ตอกย้ำอคติเดิมเรียกว่าอะไร,Confirmation Bias,Reinforcement Bias,Feedback Loop Bias,Predictive Bias,C,Feedback Loop Bias คือการนำข้อมูลที่มีอคติกลับมาใช้ซ้ำ ทำให้อคติเพิ่มขึ้นเรื่อย ๆ,,
3,อคติคือกลไกทางความคิดของมนุษย์ที่ช่วยให้ตัดสินใจเร็วขึ้น แต่บางครั้งก็นำมาซึ่งความไม่ยุติธรรม,ทำไมอคติของมนุษย์จึงเป็นปัญหาเมื่อถูกฝังใน AI,เพราะทำให้ AI ตัดสินใจช้าลง,เพราะ AI จะขาดความคิดสร้างสรรค์,เพราะอคติเล็ก ๆ อาจกลายเป็นอคติขนาดใหญ่ในระบบ,เพราะอคติทำให้ข้อมูลสูญหาย,C,การที่ AI เรียนรู้อคติของมนุษย์ทำให้ระบบตัดสินใจไม่เป็นธรรมและกระทบต่อคนจำนวนมาก,,
3,AI ถูกสอนจากข้อมูลของมนุษย์ ซึ่งอาจมีอคติแฝงอยู่,สาเหตุหลักที่ทำให้ AI มีอคติ (Algorithmic Bias) คืออะไร,การคำนวณผิดพลาดของระบบ,การฝึกจากข้อมูลของมนุษย์ที่มีอคติอยู่แล้ว,การใช้ภาษาที่ซับซ้อนเกินไป,การเขียนโค้ดไม่สมบูรณ์,B,AI เรียนรู้จากข้อมูลของมนุษย์ ซึ่งอาจสะท้อนมุมมองและอคติทางสังคมโดยไม่รู้ตัว,,
4,การใช้ AI ที่เน้นให้แหล่งอ้างอิง,AI ใดต่อไปนี้ขึ้นชื่อเรื่องการให้แหล่งอ้างอิงที่ตรวจสอบได้,DALL·E,Perplexity,Copilot,Whisper,B,Perplexity AI ออกแบบให้ตอบคำถามพร้อมแหล่งอ้างอิงที่ตรวจสอบได้,,
4,การตรวจสอบข้อมูลเชิงวิชาการ,หากต้องการตรวจสอบว่างานวิจัยมีจริงหรือไม่ ควรใช้เครื่องมือใด,Wikipedia,Google Scholar,Instagram,YouTube,B,Google Scholar เป็นแหล่งค้นงานวิจัยเชิงวิชาการที่เชื่อถือได้,,
4,เครื่องมือช่วยตรวจสอบข้อมูล,เครื่องมือใดต่อไปนี้เหมาะกับการตรวจสอบข่าวจริงหรือข่าวปลอม,CoFact,Google Maps,Canva,Chatbot,A,CoFact เป็นเว็บ Fact-checker ที่ช่วยตรวจสอบข่าวปลอมในภาษาไทย,,
4,"ตัวอย่างภาษาชี้นำอารมณ์ เช่น “แน่นอนที่สุด!”, “สุดยอดเทคโนโลยี”",คำตอบที่ใช้ภาษาชี้นำอารมณ์มีความเสี่ยงอย่างไร,ทำให้ผู้ใช้อยากอ่านต่อ,กระตุ้นอารมณ์แทนที่จะให้ข้อมูลจริง,ทำให้ข้อมูลแม่นยำขึ้น,ไม่มีผลต่อการตัดสินใจ,B,การใช้ภาษาชี้นำทำให้ผู้ใช้ตัดสินใจด้วยอารมณ์ แทนเหตุผลที่เป็นกลาง,,
4,"แนวคิด “Think, Don’t Just Sync!”",ข้อความนี้ต้องการสื่อสารหลักการใด,ให้ใช้ AI โดยไม่ตั้งคำถาม,ให้ใช้ AI เพื่อเลียนแบบมนุษย์,ให้ใช้ AI อย่างมีสติ คิดวิเคราะห์ ไม่เชื่อโดยง่าย,ให้ใช้ AI เฉพาะด้านเทคนิคเท่านั้น,C,เน้นการใช้ AI อย่างมีวิจารณญาณ ใช้การคิดเชิงวิเคราะห์มากกว่าการเชื่อตามทันที,,
4,ตัวอย่างคำตอบเรื่องดาวพุธร้อนกว่าดาวศุกร์,ตัวอย่างนี้ต้องการสื่อถึงหลักการใดในการประเมินคำตอบจาก AI,ตรวจสอบความสอดคล้องกับความรู้พื้นฐานที่เราทราบอยู่แล้ว,เชื่อข้อมูลใหม่มากกว่าข้อมูลเก่า,ใช้ความรู้สึกตัดสินว่า AI ผิด,ตรวจสอบเฉพาะส่วนแรกของคำตอบ,A,ผู้ใช้ควรเปรียบเทียบข้อมูลจาก AI กับความรู้ทางวิทยาศาสตร์หรือข้อมูลที่ยืนยันได้,,
4,การอ้างชื่อแหล่งข้อมูลหรือสถาบัน,ทำไมการที่ AI อ้างแหล่งข้อมูลไม่ได้หมายความว่าข้อมูลนั้นถูกต้องเสมอ,เพราะบางครั้ง AI อาจแต่งชื่อสถาบันหรือปีงานวิจัยขึ้นมาเอง,เพราะ AI ไม่เข้าใจภาษาอังกฤษ,เพราะสถาบันนั้นไม่มีอยู่จริง,เพราะข้อมูลทุกอย่างในอินเทอร์เน็ตผิดหมด,A,AI สามารถ “สร้าง” แหล่งข้อมูลปลอมได้ จึงต้องตรวจสอบซ้ำเสมอ,,
4,การขาดแหล่งอ้างอิงเป็นสัญญาณเตือนสำคัญของข้อมูลที่ไม่น่าเชื่อถือ,หาก AI ให้คำตอบโดยไม่มีแหล่งอ้างอิง ผู้ใช้ควรทำอย่างไร,เชื่อทันทีเพราะ AI ฉลาด,ป้อนคำถามใหม่และขอให้ระบุแหล่งอ้างอิง,ปิดระบบและไม่ใช้ AI อีก,คัดลอกคำตอบไปโพสต์ต่อ,B,การขอแหล่งอ้างอิงหรือค้นต่อจากหลายระบบช่วยตรวจสอบความถูกต้องของข้อมูล,,
4,AI ไม่ได้ “คิด” แต่ “คาดเดา” คำถัดไปจากข้อมูลที่เคยเรียนรู้,เพราะเหตุใด AI บางครั้งจึงให้คำตอบผิดหรือแต่งเรื่องขึ้นมาเอง,เพราะ AI จงใจโกหก,เพราะ AI เดาคำตอบตามรูปแบบของข้อมูลที่เคยเห็น,เพราะระบบขัดข้อง,เพราะไม่มีมนุษย์ควบคุม,B,AI ไม่ได้เข้าใจความหมายจริง แต่คาดเดาคำถัดไปตามรูปแบบข้อมูล จึงอาจเกิด “Hallucination” ได้,,
4,ตัวอย่างคำตอบ “นักกีฬาทุกคนออกกำลังกาย → ถ้าอยากสำเร็จต้องออกกำลังกาย”,ตัวอย่างนี้สะท้อนตรรกะผิดพลาดแบบใด,False Equivalence,Correlation is not causation,Circular Reasoning,Appeal to Emotion,B,AI สรุปผิดว่า “สิ่งที่มักเกิดร่วมกัน” เป็น “เหตุและผล” ซึ่งเป็นการให้เหตุผลที่ไม่สมเหตุสมผล,,
5,"สรุปแนวคิด “Think, Don’t Just Sync!”",ข้อความนี้ในบริบทของบทนี้หมายถึงอะไร,ใช้ AI โดยไม่ต้องตรวจสอบ,หยุดคิดก่อนเชื่อหรือแชร์ข้อมูลใด ๆ ที่ได้จาก AI,ใช้ AI ให้เร็วที่สุดเพื่อไม่ตกเทรนด์,ให้ AI ตัดสินแทนมนุษย์ทั้งหมด,B,"“Think, Don’t Just Sync!” เน้นให้ใช้วิจารณญาณ ตรวจสอบก่อนเชื่อหรือแชร์ข้อมูลในยุคของ AI",,
5,การใช้เทคโนโลยีตรวจสอบมนุษย์ เช่น การสแกนม่านตา,ข้อดีและข้อกังวลของการใช้เทคโนโลยีสแกนม่านตาคืออะไร,ปลอดภัยและไม่มีข้อจำกัด,ช่วยยืนยันความเป็นมนุษย์แต่มีความเสี่ยงด้านความเป็นส่วนตัว,ใช้ได้เฉพาะกับโทรศัพท์รุ่นใหม่,ตรวจจับ Deepfake ได้ 100%,B,แม้เทคโนโลยีช่วยยืนยันตัวตนได้ แต่ยังมีความกังวลด้านข้อมูลส่วนบุคคล,,
5,การตั้งคำถามส่วนตัวในครอบครัว,ทำไมการตั้ง “คำถามลับเฉพาะ” ในครอบครัวจึงช่วยป้องกันมิจฉาชีพได้,เพราะทำให้การสนทนาดูน่าสนุกขึ้น,เพราะคำถามเฉพาะตัวจะยืนยันตัวตนที่ Deepfake เลียนแบบไม่ได้,เพราะช่วยให้ AI เรียนรู้ข้อมูลส่วนตัว,เพราะช่วยลดความเครียดของผู้รับสาย,B,Deepfake ไม่สามารถตอบคำถามส่วนตัวที่ไม่มีในข้อมูลออนไลน์ได้,,
5,การป้องกันมิจฉาชีพ Deepfake โทรหลอก,หากได้รับสายจากคนที่อ้างว่าเป็นคนในครอบครัวแต่เสียงแปลกไป ควรทำอย่างไร,เชื่อทันทีเพราะชื่อขึ้นตรง,วางสายแล้วโทรกลับไปที่เบอร์จริงที่เราบันทึกไว้,ถามข้อมูลบัญชีเพื่อยืนยันตัวตน,แชร์เรื่องนี้ในโซเชียลมีเดีย,B,การตรวจสอบโดยโทรกลับเบอร์จริงของคนในครอบครัวเป็นวิธีป้องกัน Deepfake โทรหลอก,,
5,เสียงใน Deepfake มักไม่สมบูรณ์แบบ,สัญญาณของเสียงปลอมใน Deepfake คือข้อใด,มีเสียงลมหายใจและเสียงพื้นหลังตามธรรมชาติ,มีจังหวะการพูดที่ไม่ปกติและเสียงราบเรียบเกินจริง,เสียงดังเกินไป,พูดเร็วและกระชับ,B,เสียงจาก Deepfake มักฟังดูเป็นหุ่นยนต์ มีจังหวะเว้นวรรคไม่ธรรมชาติ และขาดอารมณ์จริง,,
5,การสังเกตการกะพริบตาและแสงเงา,ข้อใดเป็นวิธีพื้นฐานในการตรวจจับวิดีโอ Deepfake,ตรวจสอบความเร็วในการพูดของผู้พูด,สังเกตการกะพริบตาและขอบใบหน้าที่เบลอผิดธรรมชาติ,เชื่อเฉพาะวิดีโอที่มาจากโซเชียลมีเดียดัง ๆ,ใช้ AI วิเคราะห์เท่านั้น,B,Deepfake มักมีจุดผิดธรรมชาติ เช่น การกะพริบตาไม่สม่ำเสมอ หรือแสงบนใบหน้าไม่สมจริง,,
5,Deepfake คือสื่อสังเคราะห์ที่ปลอมแปลงภาพ เสียง หรือวิดีโอ,Deepfake อันตรายอย่างไร,ทำให้ดูน่าสนุกและสร้างสรรค์,สามารถใช้หลอกลวงหรือบิดเบือนข้อมูลได้อย่างแนบเนียน,ใช้ได้เฉพาะในวงการภาพยนตร์,ไม่สามารถทำให้คนเชื่อได้จริง,B,Deepfake เป็นภัยเพราะสามารถสร้างภาพหรือวิดีโอปลอมที่สมจริง ใช้ในการหลอกลวงได้,,
5,AI อาจอ้างอิงบทความวิชาการที่ไม่มีอยู่จริง,หาก AI ให้ลิงก์งานวิจัยที่ดูน่าเชื่อถือแต่ไม่มีอยู่จริง ผู้ใช้ควรทำอย่างไร,แชร์ต่อเพราะดูจริง,ตรวจสอบซ้ำจากฐานข้อมูลวิชาการ เช่น Google Scholar,ปล่อยผ่านเพราะไม่สำคัญ,เชื่อทันทีถ้าอ้างชื่อมหาวิทยาลัยดัง,B,การตรวจสอบซ้ำจากแหล่งที่เชื่อถือได้คือวิธีป้องกันการหลงเชื่อข้อมูลปลอม,,
5,AI สามารถช่วยค้นหางานวิจัยได้อย่างรวดเร็ว แต่ก็อาจสร้างข้อมูลปลอมขึ้นมา,ปัญหา “Hallucination” ของ AI หมายถึงอะไร,การที่ AI ตอบช้ากว่าปกติ,การที่ AI สร้างข้อมูลหรือแหล่งอ้างอิงที่ไม่มีอยู่จริง,การที่ AI ปฏิเสธการตอบคำถาม,การที่ AI แปลภาษาผิด,B,Hallucination คือการที่ AI “แต่งข้อมูล” หรือสร้างสิ่งที่ไม่มีอยู่จริงอย่างแนบเนียน,,
5,กรณีพนักงานบริษัทในฮ่องกงถูกหลอกโอนเงิน 896 ล้านบาท,หลักการทางจิตวิทยาใดที่มิจฉาชีพใช้ในเหตุการณ์นี้,Confirmation Bias,Social Proof,Authority Bias,Availability Heuristic,B,มิจฉาชีพใช้ Social Proof คือ “เมื่อทุกคนในกลุ่มเห็นด้วย สิ่งนั้นน่าจะถูกต้อง” เพื่อกดดันเหยื่อ,,
6,การตอบโต้คอนเทนต์ไม่ชอบมากเกินไป,ถ้าเราคอมเมนต์โต้แย้งคอนเทนต์ที่ไม่ชอบบ่อย ๆ จะเกิดอะไรขึ้น,AI จะลดการแสดงคอนเทนต์นั้น,AI จะคิดว่าเราสนใจและแนะนำคอนเทนต์แบบเดียวกันเพิ่มขึ้น,ระบบจะลบคอนเทนต์นั้นออก,ไม่มีผลใด ๆ,B,การมีปฏิสัมพันธ์มาก (แม้จะเป็นเชิงลบ) ทำให้ AI เข้าใจผิดว่าเราสนใจเนื้อหานั้น,,checked
6,สรุปแนวคิดหลักของบท,Personalization จะเป็นประโยชน์สูงสุดเมื่อใด,เมื่อเราเข้าใจกลไกและใช้เพื่อเพิ่มคุณภาพชีวิตและการเรียนรู้,เมื่อเราเปิดให้ระบบเลือกทุกอย่างแทนเรา,เมื่อเราใช้เวลามากที่สุดกับเนื้อหาที่เดิม,เมื่อเราไม่แสดงพฤติกรรมใด ๆ ในระบบ,A,การเข้าใจกลไกทำให้ผู้ใช้ใช้ AI อย่างมีอำนาจ ไม่ถูกระบบควบคุม,,checked
6,การรักษาสมดุลในการใช้ระบบแนะนำ,วิธีใดช่วยให้ฟีดของเราหลากหลายมากขึ้น,กดโต้ตอบกับเนื้อหาแบบเดิมซ้ำ ๆ,เปิดใจรับเนื้อหาหลากหลายและเลือกโต้ตอบสิ่งใหม่ ๆ,ปิดระบบแนะนำทั้งหมด,ลบข้อมูลการใช้งานออกทุกวัน,B,การโต้ตอบกับสิ่งใหม่ ๆ ทำให้ระบบเรียนรู้ความสนใจที่หลากหลายขึ้น,,checked
6,ความเสี่ยงของการเจอแต่สิ่งซ้ำ ๆ (Echo Chamber),ปัญหา Echo Chamber ส่งผลอย่างไร,ทำให้ผู้ใช้ได้รับข้อมูลที่หลากหลายมากขึ้น,ทำให้ผู้ใช้เห็นแต่เนื้อหาที่เหมือนเดิมและจำกัดมุมมอง,ทำให้ระบบแม่นยำขึ้นเสมอ,ไม่มีผลต่อพฤติกรรมผู้ใช้,B,Echo Chamber ทำให้มุมมองของผู้ใช้แคบลงและเสี่ยงต่อการรับข้อมูลซ้ำแบบมีอคติ,,checked
6,ความเสี่ยงของการใช้ AI โดยไม่เข้าใจกลไก,ถ้าเราไม่เข้าใจการทำงานของระบบแนะนำ จะเกิดผลอย่างไร,เราจะควบคุมเนื้อหาที่เห็นได้มากขึ้น,เราอาจกลายเป็นผู้ถูกควบคุมโดยอัลกอริทึม,ระบบจะหยุดแนะนำเนื้อหาทันที,ไม่มีผลใด ๆ ต่อผู้ใช้,B,การไม่เข้าใจกลไกทำให้เราถูกอัลกอริทึมชี้นำโดยไม่รู้ตัว,,checked
